GRE,TOEFL,CGPA / %,WORK_EX,IELTS,SOP,LOR,PERCENTAGE
296,93,8.34,0,6.5,4,4,78.4
291,93,0.67,27,6.5,3,3,67
293,93,0.56,8,6.5,2,2,56
296,93,7,34,6.5,3,3,65
294,93,0.54,35,6.5,2,2,54
303,94,0.798,38,6.5,4,4,79.8
301,95,7.6,19,6.5,3,3,71
304,95,0.67,35,6.5,3,3,67
305,95,6,0,6.5,2,2,55
305,95,7.3,48,6.5,3,3,68
305,95,0.58,0,6.5,2,2,58
305,95,8.2,39,6.5,4,4,77
305,95,8.29,48,6.5,4,4,77.9
305,95,0.67,0,6.5,3,3,67
305,95,0.641,1,6.5,3,3,64.1
297,95,6,3,6.5,2,2,55
289,95,0.6,0,6.5,3,3,60
310,98,7.45,29,6.5,3,3,69.5
309,99,0.59,24,6.5,2,2,59
306,99,0.645,0,6.5,3,3,64.5
296,100,8.05,48,6.5,4,4,75.5
302,100,0.6,18,6.5,3,3,60
296,100,6.2,0,6.5,2,2,57
305,101,6.5,22,7,3,3,60
299,101,7.8,18,7,3,3,73
331,101,0.65,15,7,3,3,65
305,101,0.51,13,7,2,2,51
300,101,6.6,24,7,3,3,61
307,101,8.43,0,7,4,4,79.3
300,101,0.7264,48,7,3,3,72.64
297,101,6.5,15,7,3,3,60
300,101,0.81,36,7,4,4,81
315,105,6.45,7,7,2,2,59.5
309,108,0.6,14,7,3,3,60
314,108,0.6,21,7,3,3,60
295,109,7.51,32,7.5,3,3,70.1
311,109,6.12,18,7.5,2,2,56.2
304,109,0.625,4,7.5,3,3,62.5
305,95,8.7,60,6.5,4,4,82
305,95,7.3,48,6.5,3,3,68
305,95,0.64,92,6.5,3,3,64
305,95,0.58,0,6.5,2,2,58
305,95,7.1,0,6.5,3,3,66
308,95,8.5,40,6.5,4,4,80
305,95,7.97,-1,6.5,3,3,74.7
305,95,8.6,24,6.5,4,4,81
306,95,0.63,0,6.5,3,3,63
305,95,7.82,20,6.5,3,3,73.2
305,95,0.724,67,6.5,3,3,72.4
305,95,0.85,28,6.5,4,4,85
305,95,0.74,12,6.5,3,3,74
320,95,8.87,18,6.5,4,4,83.7
314,100,8.5,15,6.5,4,4,80
302,100,0.71,0,6.5,3,3,71
309,100,0.61,40,6.5,3,3,61
321,100,8.55,37,6.5,4,4,80.5
316,100,0.623,0,6.5,3,3,62.3
310,101,0.84,27,7,4,4,84
